query_id,database,sf,iteration,mode,latency_ms,status
q18,postgres,1,1,hot,1370,OK
q18,postgres,1,2,hot,1473,OK
q18,postgres,1,3,hot,1439,OK
q19,postgres,1,0,cold,342,OK
q19,postgres,1,1,hot,291,OK
q19,postgres,1,2,hot,293,OK
q19,postgres,1,3,hot,291,OK
q20,postgres,1,0,cold,300103,TIMEOUT
q20,postgres,1,1,hot,300101,TIMEOUT
q20,postgres,1,2,hot,300102,TIMEOUT
q20,postgres,1,3,hot,300101,TIMEOUT
q21,postgres,1,0,cold,379,OK
q21,postgres,1,1,hot,326,OK
q21,postgres,1,2,hot,326,OK
q21,postgres,1,3,hot,326,OK
q22,postgres,1,0,cold,183,OK
q22,postgres,1,1,hot,129,OK
q22,postgres,1,2,hot,132,OK
q22,postgres,1,3,hot,130,OK
q01,exasol,1,0,cold,121,OK
q01,exasol,1,1,hot,49,OK
q01,exasol,1,2,hot,50,OK
q01,exasol,1,3,hot,50,OK
q02,exasol,1,0,cold,224,OK
q02,exasol,1,1,hot,39,OK
q02,exasol,1,2,hot,40,OK
q02,exasol,1,3,hot,40,OK
q03,exasol,1,0,cold,364,OK
q03,exasol,1,1,hot,19,OK
q03,exasol,1,2,hot,18,OK
q03,exasol,1,3,hot,16,OK
q04,exasol,1,0,cold,18,OK
q04,exasol,1,1,hot,8,OK
q04,exasol,1,2,hot,7,OK
q04,exasol,1,3,hot,8,OK
q05,exasol,1,0,cold,86,OK
q05,exasol,1,1,hot,15,OK
q05,exasol,1,2,hot,17,OK
q05,exasol,1,3,hot,15,OK
q06,exasol,1,0,cold,6,OK
q06,exasol,1,1,hot,5,OK
q06,exasol,1,2,hot,5,OK
q06,exasol,1,3,hot,5,OK
q07,exasol,1,0,cold,242,OK
q07,exasol,1,1,hot,15,OK
q07,exasol,1,2,hot,14,OK
q07,exasol,1,3,hot,13,OK
q08,exasol,1,0,cold,217,OK
q08,exasol,1,1,hot,14,OK
q08,exasol,1,2,hot,16,OK
q08,exasol,1,3,hot,14,OK
q09,exasol,1,0,cold,244,OK
q09,exasol,1,1,hot,24,OK
q09,exasol,1,2,hot,25,OK
q09,exasol,1,3,hot,24,OK
q10,exasol,1,0,cold,142,OK
q10,exasol,1,1,hot,66,OK
q10,exasol,1,2,hot,63,OK
q10,exasol,1,3,hot,62,OK
q11,exasol,1,0,cold,0,ERROR
q11,exasol,1,1,hot,0,ERROR
q11,exasol,1,2,hot,0,ERROR
q11,exasol,1,3,hot,0,ERROR
q12,exasol,1,0,cold,117,OK
q12,exasol,1,1,hot,13,OK
q12,exasol,1,2,hot,13,OK
q12,exasol,1,3,hot,13,OK
q13,exasol,1,0,cold,84,OK
q13,exasol,1,1,hot,33,OK
q13,exasol,1,2,hot,33,OK
q13,exasol,1,3,hot,34,OK
q14,exasol,1,0,cold,25,OK
q14,exasol,1,1,hot,7,OK
q14,exasol,1,2,hot,7,OK
q14,exasol,1,3,hot,8,OK
q15,exasol,1,0,cold,27,OK
q15,exasol,1,1,hot,17,OK
q15,exasol,1,2,hot,16,OK
q15,exasol,1,3,hot,15,OK
q16,exasol,1,0,cold,68,OK
q16,exasol,1,1,hot,47,OK
q16,exasol,1,2,hot,134,OK
q16,exasol,1,3,hot,56,OK
q17,exasol,1,0,cold,140,OK
q17,exasol,1,1,hot,124,OK
q17,exasol,1,2,hot,131,OK
q17,exasol,1,3,hot,122,OK
q18,exasol,1,0,cold,26,OK
q18,exasol,1,1,hot,24,OK
q18,exasol,1,2,hot,26,OK
q18,exasol,1,3,hot,23,OK
q19,exasol,1,0,cold,85,OK
q19,exasol,1,1,hot,13,OK
q19,exasol,1,2,hot,13,OK
q19,exasol,1,3,hot,14,OK
q20,exasol,1,0,cold,119,OK
q20,exasol,1,1,hot,94,OK
q20,exasol,1,2,hot,119,OK
q20,exasol,1,3,hot,108,OK
q21,exasol,1,0,cold,40,OK
q21,exasol,1,1,hot,18,OK
q21,exasol,1,2,hot,17,OK
q21,exasol,1,3,hot,16,OK
q22,exasol,1,0,cold,15,OK
q22,exasol,1,1,hot,12,OK
q22,exasol,1,2,hot,13,OK
q22,exasol,1,3,hot,12,OK
